"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1586","Login Válido","","2026-06-03","passed","2026-06-03","","","",""
"","74","Remover um produto do carrinho","","2026-06-03","passed","2026-06-03","","","",""
"","2200","Verificar o total dos produtos no checkout","","2026-06-08","passed","2026-06-08","","","",""
"","1538","Adicionar um produto ao carrinho","","2026-06-03","passed","2026-06-03","","","",""
"","1555","Finalizar uma compra com sucesso","","2026-06-08","passed","2026-06-08","","","",""
"","1628","Login com senha vazia","","2026-06-03","passed","2026-06-03","","","",""
"","1499","Login com username vazio","","2026-06-03","passed","2026-06-03","","","",""
"","1564","Login com usuário bloqueado","","2026-06-03","passed","2026-06-03","","","",""
"","2744","Logout com sucesso","","2026-06-03","passed","2026-06-03","","","",""
"","1721","Login Inválido","","2026-06-03","passed","2026-06-03","","","",""
"","742","Verificar o total do carrinho","","2026-06-03","passed","2026-06-03","","","",""
